epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
96,1202.57,0.9106,0.88967,1.48396,0.72647,0.90143,0.88602,0.71113,0.72732,0.74298,1.37623,0.008119,0.008119,0.008119
97,1214.73,0.89785,0.91166,1.47944,0.68047,0.89428,0.82595,0.65303,0.7084,0.7909,1.34843,0.0080992,0.0080992,0.0080992
98,1226.9,0.8842,0.90254,1.46018,0.75288,0.87573,0.9002,0.74588,0.68426,0.7618,1.3266,0.0080794,0.0080794,0.0080794
99,1239.02,0.89747,0.89823,1.47412,0.77923,0.84565,0.91091,0.74578,0.68661,0.74983,1.31693,0.0080596,0.0080596,0.0080596
100,1251.19,0.88818,0.87655,1.48305,0.72276,0.86379,0.86805,0.66041,0.85468,0.7951,1.5519,0.0080398,0.0080398,0.0080398
101,1263.31,0.87141,0.87197,1.44974,0.7668,0.76346,0.85721,0.66749,0.80269,1.10933,1.44436,0.00802,0.00802,0.00802
102,1275.54,0.90058,0.89088,1.47816,0.80658,0.86836,0.91987,0.76019,0.66696,0.66431,1.26062,0.0080002,0.0080002,0.0080002
103,1287.77,0.89769,0.89934,1.47852,0.85188,0.88583,0.93411,0.74452,0.74571,0.58427,1.3752,0.0079804,0.0079804,0.0079804
104,1299.92,0.90146,0.87385,1.48131,0.80143,0.86018,0.8899,0.72293,0.70272,0.67439,1.32185,0.0079606,0.0079606,0.0079606
105,1312.35,0.89254,0.87502,1.48449,0.839,0.89116,0.92496,0.73673,0.74336,0.61098,1.40258,0.0079408,0.0079408,0.0079408
106,1324.59,0.87443,0.85004,1.47278,0.71642,0.85748,0.86963,0.7095,0.71202,0.88405,1.32718,0.007921,0.007921,0.007921
107,1336.81,0.86837,0.85539,1.45181,0.82433,0.87804,0.919,0.7509,0.68812,0.59903,1.31546,0.0079012,0.0079012,0.0079012
108,1349.03,0.88091,0.85805,1.46421,0.85533,0.91814,0.94349,0.78392,0.66289,0.55451,1.27456,0.0078814,0.0078814,0.0078814
109,1361.2,0.90502,0.88285,1.49154,0.63642,0.76771,0.78446,0.62872,0.76555,1.26563,1.41829,0.0078616,0.0078616,0.0078616
110,1373.39,0.8587,0.82367,1.44848,0.86943,0.86586,0.8985,0.71282,0.73653,0.60848,1.38335,0.0078418,0.0078418,0.0078418
111,1385.85,0.87548,0.85559,1.46068,0.86418,0.86655,0.92479,0.7461,0.71723,0.58602,1.33577,0.007822,0.007822,0.007822
112,1398.11,0.85619,0.8385,1.45192,0.85826,0.863,0.90824,0.75296,0.66529,0.6193,1.30551,0.0078022,0.0078022,0.0078022
113,1410.27,0.87953,0.87076,1.46285,0.8678,0.93297,0.95289,0.77913,0.7129,0.54181,1.33015,0.0077824,0.0077824,0.0077824
114,1422.48,0.88123,0.85576,1.44936,0.86305,0.92479,0.94404,0.77321,0.67171,0.54962,1.28769,0.0077626,0.0077626,0.0077626
115,1434.71,0.87094,0.85574,1.44686,0.85655,0.82866,0.91402,0.73481,0.7018,0.65253,1.33132,0.0077428,0.0077428,0.0077428
116,1446.95,0.85842,0.84895,1.43867,0.88663,0.92576,0.94803,0.79204,0.65599,0.49513,1.29166,0.007723,0.007723,0.007723
117,1459.15,0.85554,0.83355,1.44199,0.82162,0.86855,0.8984,0.6897,0.80344,0.66686,1.44403,0.0077032,0.0077032,0.0077032
118,1471.31,0.84677,0.82012,1.42672,0.78259,0.82612,0.881,0.69021,0.76463,0.75701,1.4217,0.0076834,0.0076834,0.0076834
